City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
346,saint-memmie,48.9525,4.3841,55.42,91,0,7.27,FR,1717971217
347,barberena,14.3094,-90.3611,76.64,82,88,5.14,GT,1717971218
348,molchanovo,57.5817,83.7692,47.98,81,6,7.14,RU,1717971218
349,callaway,30.153,-85.5699,89.65,60,0,12.66,US,1717971113
350,santa elena de uairen,4.6167,-61.1333,70.83,90,75,3.91,VE,1717971218
351,udachny,66.4167,112.4,62.46,34,98,5.57,RU,1717971218
352,kill devil hills,36.0307,-75.676,86.02,54,0,6.91,US,1717971218
353,lagodekhi,41.8268,46.2767,68.9,67,35,2.89,GE,1717971219
354,kindu,-2.95,25.95,70.39,56,54,2.13,CD,1717971219
355,san patricio,28.017,-97.5169,95.16,51,19,17.09,US,1717971219
356,howard springs,-12.497,131.047,66.11,80,5,6.06,AU,1717971219
357,makurazaki,31.2667,130.3167,70.83,91,88,0.6,JP,1717971220
358,newman,37.3138,-121.0208,91.24,16,54,2.95,US,1717971028
359,callao,-12.0667,-77.15,72.43,72,75,8.05,PE,1717971220
360,honggang,46.4667,124.8667,66.36,46,60,8.77,CN,1717971220
361,cidreira,-30.1811,-50.2056,66.56,86,4,7.94,BR,1717971220
362,la maddalena,41.2142,9.4083,73.45,79,0,12.55,IT,1717971220
363,usogorsk,63.4106,48.6872,52.66,84,100,5.21,RU,1717971221
